;0
96;SKS – PraxisDen Praxistorn können wir ausschließlich Teilnehmern anbieten, die bei uns bereits Theorie gemacht haben.3. Sportküstenschifferschein(SKS)-Ausbildungstörn- PraxisVoraussetzung: Teilnahme an unserem TheoriekursDie SKS-Ausbildungstörns (+ 300 Seemeilen) finden auf dem Ijsselmeer statt. Am letzten Tag des Törns wird die Praxisprüfung des Sportküstenschifferscheines abgenommen.Dieser Kurs wird wieder im Sommersemester 2022 angeboten.Preis:Begrenzte Teilnehmerzahl! Der Törn findet nur bei ausreichender Teilnehmerzahl statt.Anmeldung:
97;Eifel, blauer Himmel mit einigen Cumuluswolken und eine Gruppe entschlossener Segelflieger am Flugplatz Dahlemer Binz. Wenn auch du Interesse am Flugsporthast und bereit bist, den Wandel vom Fußgänger zum Segelflugzeug-Piloten zu vollziehen, dann bist du beiuns genau richtig. Die AKAFLIEG Köln e.V. als Segelfluggruppe ermöglicht dir den Einstieg in ein faszinierendes Hobby.Von April bis Oktober sind wir samstags an unseremFlugplatz tätig, der neben seinerschönenLage und günstigen meteorologischen Bedingungen auch nochnahezu unbeschränkten Luftraum bietet. Der Flugplatz ist von Köln aus gut mit der Bahn erreichbar und natürlich bilden wir auch Fahrgemeinschaften. Jeweils zumAnfang des Semesters findet ein Infoabend zum ThemaSegelflug an der Uni statt. Für Studenten der KölnerHochschulen bieten wir besonders günstige Konditionenund Interessentenflüge bereits ab ca. 8€ an. Da Segelfliegen vor allem eine Erlebnissportart ist, schau doch einfach bei uns vorbei und mache deinen ersten Flug!Zeit:Mi, 13.04.2022 um 19 Uhronline über Zoom(Infoveranstaltung)Zoommeeting Daten:https://uni-koeln.zoom.us/j/93535670676?pwd=ZGFDUnR0L2I3OFdjOGJLdkUzU0RLQT09Meeting-ID: 935 3567 0676Passwort: 376988Die Kontaktadresse istinfo@akaflieg-koeln.de
98;"Amtlicher Sportboot-Führerschein Binnen (Segel und Motor) – Theorie und PraxisTermin:25.03. - 01.04.2022ZUSÄTZLICH MÖGLICH: Sportboot-Führerschein See – Praxis und PrüfungTheorie und Pyrotechnikkostenlos (zzgl. Prüfungsgebühren).Kompaktkurse:Theorie und Praxis innerhalb einer Woche!In dem Kurs werden alle Bereiche aus Theorie und Praxis,wie Segelmanöver, Knoten, Segeltechnik, Rechts-, Sicherheits- und Wetterkunde etc. behandelt.Die Unterbringung erfolgt in direkt am Wasser gelegenen Appartements für jeweils vier Personen. Gesegeltwird auf Valken, mit denen man bei jeder zulässigen Witterung auslaufen kann (unkenterbar). Alle Materialien, inkl.Lernmaterial, werden gestellt.2G+ Nachweispflicht ab SofortDas heißt, es dürfennur immunisierte Personen teilnehmen (geimpft/genesen), die darüber hinaus noch über einenaktuell gültigen Testnachweis verfügen(Antigen-Schnelltest max. 24 Std. alt; PCR-Test max. 48 Std. alt).Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.Der Kurs wird durch eine Prüfung, die vor Ort vom deutschen Seglerverband abgenommen wird, abgeschlossen.Leistungen:Theorie und Praxis für Segelboot und Motorboot BinnenPraxis für Motorboot SeePyrotechnik (Signalmittel) optionalUnterbringungTheorie & Info:Fr., 04.03.2022um15 Uhrin der Uni Mensa. Dieser Termin ist verbindlich! Außerdem ist ein Arzt für die ärztliche Untersuchung vor Ort.Meldeschluss:10.02.2022Anmeldung:ab 18.10.2021 im Hochschulsportbüro I. Die Bezahlung ist nur bar bei Anmeldung im Büro möglich.Ort:Vakantiepark de Kuilart(Niederlande)Preis:Studierende360€ + PrüfungskostenAlle anderen410€ + PrüfungskostenBegrenzte Teilnehmerzahl!"
99;Der Sportseeschifferschein ist der amtliche Befähigungsnachweis zum Führen von Yachten unter Segel und Motor in allen Seegebieten, Abstand bis 30 sm von der Küste. Zu diesen Seegebieten gehören Nord - und Ostsee, Engl. Kanal, Irische - und Schottische See, Bristolkanal, Mittelmeer und Schwarzes Meer. Vorgeschrieben ist der Sportseeschifferschein zum Führen von Sportbooten, die gewerbsmäßig zur Ausbildung genutzt werden, und Traditionsschiffen von 15 m bis 25 m Länge in der Küstenfahrt und kleinen Küstenfahrt.Der SSS-Schein baut auf den Sportküstenschifferschein auf (für die Zulassung zur SSS-Prüfung nicht zwingend vorgeschrieben). Die Kenntnisse der terrestrischen Navigation werden durch die elektronische Navigation wie ECDIS, GPS, RADAR und AIS wesentlich erweitert. Mit den Admirality Tide Tables werden die Aufgaben der weltweiten Gezeitenvorausberechnungen vorgenommen. Weitere fundierte Kenntnisse sind in den seemännischen, verkehrsrechtlichen und meteorologischen Bereichen über das bisherige Grundwissen erforderlich.NavigationIn diesem Bereich werden alle prüfungsrelevanten Themen hinsichtlich terrestrischer – , elektronischer Navigation (RADAR / GPS / ECDIS) unter Berücksichtigung von Wind und Gezeitenströme behandelt. Kompass – Ablenkungskontrolle und Gezeitenvorausberechnung nach ATT.SeemannschaftYachtführung, Yachtbedienung, Manöver und SicherheitSchifffahrtsrechtInt. Seerechtsübereinkommen, KVR, SeeSchStrO, VO Seefahrt, Befahrensregelungen Watten und NationalparkWetterkundeterrestrische Windsysteme in der Ostsee, Nordsee, Mittelmeer und im  Nordatlantik, Entwicklung von Tief – und Hochdruckzentren, Beurteilung der Wetterlage durch eigene Beobachtungen, Zeichnen von Wetterkarten.Um den Sportseeschifferschein zu erwerben, haben alle theoretischen Prüfungen in den Fächern Navigation, Schifffahrtsrecht, Seemannschaft und Wetterkunde innerhalb von 24 Monaten und mit der praktischen Prüfung von 36 Monaten zu erfolgen.PrüfungsvoraussetzungBesitz des Sportbootführerschein See (SBF See)Mindestalter 16 JahreNachweis von 1.000 Seemeilen auf Yachten in küstennahen Gewässern (nach Erwerb des SBF See) oder 700 Seemeilen (nach Erwerb des SKS) als Wachführer oder StellvertreterUnter qualifizierter Leitung wird der Kurs mit modernen Präsentationstechniken durchgeführt. Dadurch wird der Kurs kompakt angeboten, die anstehenden Themen interessant vorgetragen und dargestellt. Emailgestützt werden Aufgaben und Lösungen gesendet, bearbeitet und kontrolliert. Um an dem Kurs teilnehmen zu können sind die Kenntnisse der Ausbildungs – und Prüfungsinhalte vom SBF See und SKS erforderlich.Die erworbenen, theoretischen Kenntnisse in den Fächern Navigation, Schifffahrtsrecht, Seemannschaft und Wetterkunde sind für eine verantwortliche Schiffsführung von erheblicher Bedeutung. Die Ausbildungstörns, Ost – oder Nordsee, werden auf entsprechend, für die praktische Prüfung ausgerüsteten Hochsee – Yachten, vom HOCHSCHULSPORT vermittelt.Anmeldung:Nach erfolgter Überweisungper Mail an info@hochschulsport-koeln.deInformationsveranstaltung findet am ersten Kursabend statt.Überweisung:bisDi., 12.10.2021auf folgendes Konto:Empfänger: AStA Uni KölnIBAN: DE94 3806 0186 8006 2720 11Verwendungszweck: 9773Preis:Studierende:140,- (zzgl. Prüfungsgebühren)alle Anderen:260,- (zzgl. Prüfungsgebühren)Der Online-Kurs soll so ablaufen:Beginn:ab Sa., 23.10.2021Uhrzeit:11-14 UhrWo:über Zoom (Zugangsdaten erhaltet ihr vorher per Mail)Termine:23.10., 30.10., 06.11., 13.11., 20.11., 27.11., 04.12., 11.12., 18.12., 15.01., 22.01., 29.01.Lehrgangablaufhier
100;UKW Seefunkzeugnis „Short Range Certificate“ (SRC)und UKW Binnen-Lizenz (UBI)„Short Range Certificate“ (SRC) und UKW Binnen-Lizenz (UBI)Der Kurs dient zur Vorbereitung auf die Prüfung zum Erwerb dieserZeugnisse. Die Zeugnisse werden benötigt, um entsprechende Funkgeräte an Bord betreiben zu dürfen. Sie ermöglichen im Seebereich den Anschluss an das weltweite Seenotrettungssystem GMDSS, sowie die Teilnahme am Binnenschifffahrtsfunk.Funkgeräte dienen nicht nur der privaten Kommunikation, sondern sind ein wesentlicher Sicherheitsfaktor anBord und ermöglichen die Aussendung von Not-, Dringlichkeits- und Sicherheitsmeldungen an „All stations“, sowiedie Kommunikation mit den jeweiligen Rettungsstellen.Durch den immer mehr verbreiteten Einsatz der AIS-Geräte (Automatisches Identifizierungssystem)im Sport- und Charterbreich ist es möglich, umliegendeSchiffe zu „sehen“ und direkt mit ihrer „Nummer“ perDSC-UKW anzurufen. Wichtig bei unsichtigem Wetter und Kollisionsgefahr!Denkt an Eure Sicherheit und die Eurer Crew! Ein Handy ist kein Ersatz für ein Funkgerät!Da bei fast allen Charteryachten (bei Yacht von über 12 m Länge Pflicht) ausSicherheitsgründen ein Funkgerät an Bord ist, benötigtder Schiffsführer auch das entsprechende Zeugnis. EinVerstoß gegen die Funkzeugnispflicht wird mit einemBußgeld (in D 150€) belegt.Das SRC-Zeugnis gilt nur für den Seefunk. Im Binnenbereich ist das UBI erforderlich. Für Hollandfahrer: DasIjsselmeer und Teile des Wattenmeeres sind als Binnenrevier ausgezeichnet.In unseren Kursen vermitteln wir nicht nur das notwendige Prüfungswissen, sondern machen dich auch fit für die Praxis an Bord.Für die praktischen Übungen stehen zwei Shipmate-RS-8400-Anlagen und eine RS-8100 zur Verfügung. An diesen wird auch die praktische Prüfung abgenommen.Ort:TH Claudiusstr. 1,Raum 209Zeit:09.00 – 16.30 UhrBeginn:06.11.2021Kursdauer:4 Samstage von09.00 – 16.30 UhrKurstermine:Sa., 06.11.2021Sa., 13.11.2021Sa., 20.11.2021Sa., 27.11.2021Prüfung:wird noch bekannt gegebenPreis:140€ für Studierendezzgl. Prüfungsgebühr240€ für alle Anderenzzgl. PrüfungsgebührLernmaterial:     (auf den Kurs abgestimmt)kann am ersten Abenderworben werden (13€)Anmeldung:Nach erfolgter Überweisungper Mail an info@hochschulsport-koeln.deInformationsveranstaltung findet am ersten Kursabend statt.Überweisung:bisDi., 26.10.2021auf folgendes Konto:Empfänger: AStA Uni KölnIBAN: DE94 3806 0186 8006 2720 11Verwendungszweck: 9774
101;"Bei der afro-brasilianischen Kultur handelt es sich um ein Mosaik verschiedener Traditionen, welche im Tanz zum Ausdruck kommen. In diesem Kurs werden verschiedene afro-brasilianische Rhythmen getanzt. Generell handelt es sich um einen Tanz voller Zauber, Magie und sehr viel Energie. Die afro-brasilianischen Tänze dienen als Werkzeug, um unsere Lebensfreude zu nähren und zu lernen,uns besser und freier auszudrücken. In der brasilianischen Kultur gibt es für jeden Heiligen einen besonderen Tanz. Wir tanzen – und lassen die Energien sprudeln!Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMittwoch13:0014:30Tanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…"
102;"Ziel des afrikanischen Tanzes ist es, durch isoliertes Bewegen einzelner Körperteile den eigenen Körper kennen zu lernen und unter dem Einfluss des unverwechselbaren Rhythmus die Freude an der eigenen Bewegung zu entdecken.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag13:0014:30Tanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…"
103;"Ballett ist ein ganzheitliches Training für Körper und Geist, welches sowohl Kraft als auch Ästhetik und Selbstbewusstsein fördert.-Anfänger:für Interessierte ohne Vorkenntnisse, die die Basis des klassischen Balletts erlernen möchten.-Fortgeschrittene Anfänger:für Interessierte mit einigen Vorkenntnissen.-Fortgeschrittene:ein offenes Training für Interessierte mit guten Vorkenntnissen. Anspruchsvolles klassisches Training, mit kompletten Variationen und auch Spitzentanz bei Interesse.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag13:0014:30FATanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…Montag14:3016:00ATanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…Dienstag20:4522:00FKringsweg 2-4nur VorlesungszeitEinstieg nur in der 1. Woche möglich; feste Gruppehttps://anmeld…Mittwoch10:0011:30ATanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…Mittwoch16:0017:30ATanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…"
104;"„Tanzen auf verschiedenen Hochzeiten“Jazz Dance ist eine in den USA entstandene Form deszeitgenössischen Gesellschafts- und Kunsttanzes. DerTanz entwickelte sich ursprünglich aus afroamerikanischen Tanzstilen. In den 50er und 60er Jahren wurden auch Elemente des Balletts, des Modern Dance und des Stepptanzes integriert. Ab 1900 wurde der Tanz auch in Europa populär.Er betont die Körperlinie, schnelle, genaue Fußarbeitund rhythmische Körperbewegungen. Das Bewegungszentrum ist das Becken. Die choreographische Gestaltungtänzerischer Ausdrucksformen ist nicht nur einästhetischer Genuss, sondern repräsentiert die ganze Ausdruckskraft und Kreativität tänzerischer Bewegungskultur.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag14:3016:00FATanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…Donnerstag14:3016:00ATanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…"
105;"AusdruckstanzÜber die Sensibilisierung für Körper, Raum, Zeit undRhythmus mit Hilfe von elementarem Tanz, Horton- undLimon-Technik werden Tanzabläufe und kleine Kombinationen entwickelt.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMittwoch14:3016:00ATanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…"
106;"„Trunken um Deinen Bauch gaukeln die Sterne...“(Burhan Karkutli)Der Orientalische Tanz ist sicherlich der weiblichste aller Tänze und eine wunderbare Art, sich fit zu halten, dennnicht nur der Bauch, sondern die gesamte Muskulatur wird gestärkt. Mit einfachen Schritten und Isolationsübungen nähern wir uns dem Orientalischen Tanz und seiner Musik. Wir lernen, wieviel Spaß es macht, nichtnur die Hüften zu schwingen, und was es heißt, aus dem Bauch heraus zu tanzen.Bitte ein Tuch für die Hüfte mitbringen.Keine Vorkenntnisse erforderlich.Sporthalle Zülpicher Wall: !!! BITTE WARTET MIT MASKE AM PARKPLATZ, BIS DER TRAINERin EUCH HINEINBEGLEITET. DIE MASKE DARF ERST IN DER HALLE AUSGEZOGEN WERDEN. Deswegen erscheint bitte 10 Minuten vor Kursbeginn !!!DIE LEUTE, DIE ZU SPÄT KOMMEN; WERDEN VON DER TEILNAHME LEIDER AUSGESCHLOSSEN.!!!Wichtig!!!: Bei Missachten der Regeln steht es dem Hochschulsport zu, Teilnehmer vom Kurs auszuschließen.Die Anmeldungist 3 Stunden vor Kursbeginn freigeschaltet.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDonnerstag15:3016:30Zülpicher Wall 1nur VorlesungszeitBeginn: 28.10.21https://anmeld…"
107;"Samba ist die Seele des Volkes.Dieser für das Land am Zuckerhut so bedeutungsvolle Tanz wird dort zu allen Zeiten „gelebt” und ist in allensozialen Schichten und Regionen Brasiliens zuhause. Ob aus Freude oder aus Trauer – für Samba gibt es immer einen Grund. Wer heiße Rhythmen liebt, Freude am Zusehen, sich Zeigen und Mitmachen hat, für den ist Samba das Richtige.Der Einstieg ist nur in den ersten drei Wochen möglich!Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDonnerstag13:0014:30Tanzfabrik Moselstr. 60nur Vorlesungszeithttps://anmeld…"
108;"Aqua-Mix ist ein effektives, ganzheitliches Aqua-Fitness-Training mit unterschiedlichen Überraschungen. In diesemKurs werden diverse Arten der Aqua-Fitness angeboten.Dies ist z.B. neben dem klassischen Aqua-Jogging auch Aqua-Step, Aqua-Boxing und Aqua-Walking sowie Intervall- und Zirkeltraining.In den Kursen wird sowohl Kraft- als auch Ausdauertraining durchgeführt. Es ist für jeden etwas dabei.Begrenzte Teilnehmerzahl!Die Anmeldung erfolgt online unter www.hochschulsport-koeln.de; sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.Begrenzte Teilnehmerzahl!Aufgrund der Coronapandemie gibt es keine Duschmöglichkeiten und eine Maskenpflicht, die überall gilt außer im Wasser!2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMittwoch19:4520:30Hallenbad OssendorfVorlesungszeit und vorlesungsfreie ZeitDer Kurs fällt am 09.03.22 leider aus.Mittwoch20:3021:15Hallenbad OssendorfVorlesungszeit und vorlesungsfreie ZeitDer Kurs fällt am 09.03.22 leider aus."
109;GrundtauchscheinDer Grundtauchschein vermittelt grundlegende theoretische und praktische Kenntnisse des Sporttauchens. Er ist die erste Stufe deiner Ausbildung auf dem Weg zum Open Water Diver. Wir empfehlen, innerhalb eines Jahres die Ausbildung zum Open Water Diver anzuschließen.VoraussetzungenGültige Tauchtauglichkeitsbescheinigung, ausreichende SchwimmkenntnisseKursgebühr149 €Die Kursgebühr beinhaltet alle anfallenden Kosten für Lernmaterialien, Ausbildung, Leihausrüstung, Eintritte und Brevetierung.KursinhaltDer Kurs besteht aus 2 x Theorie via Zoom, Selbststudium, 3 x Praxis im Zollstockbad Köln.Kurstermine und AnmeldungHier kannst du alle Termine einsehen und dich anmelden:Infos und AnmeldungCorona SicherheitsmaßnahmenGruppengröße, Abstandsregeln und Desinfektion der Ausrüstung unterliegen einem bewährten Hygienekonzept.Kontaktdiving@vip-rescue.de, Matthias: 0175 4336680, Michael: 0170 639082, VIP Dive Center Köln
110;Kitesurfen ist die Trendsportart für Wassersportler! Hier werden Geschwindigkeit und Fun des Windsurfens und des Wellenreitens zu einer neuen aufregenden Sportart vereint. Im Sommer gehört Holland zum Besten, was einem Surfanfänger bzw. -aufsteiger passieren kann. An folgenden Terminen bieten wir Kitekurse mit täglich mind. 3 Stunden Unterricht für Anfänger, durch erfahrene Kitelehrer an. Das nötige Schulungsmaterial stellen wir zur Verfügung. Auf dem schön angelegten Bungalowpark Veluwestrandbad werdet ihr untergebracht in Bungalows und Mobilheimen. Die Unterkünfte befinden sich in unmittelbarer Nähe zum Wasser und zur Kitesurfschule. Außerhalb der Kurszeiten habt ihr die Möglichkeit, kostenlos Kajaks zu nutzen.Diese modernen, gemütlichen und komfortablen Bungalows und Mobilheime sind vollständig eingerichtet, verfügen sämtlich über einen Gasofen bzw. eine Zentralheizung, eine volleingerichtete Küche mit Gasherd, Dusche, Bad, WC, Aufenthaltsraum mit TV und haben eine eigene Terrasse mit Gartenmöbeln.Die Mobilheime haben zudem einen elektrischen Backofen und eine Ministereoanlage.Die Bungalows verfügen über 2 Doppelzimmer und einen Alkoven. Die Mobilheime sind mit 4 Doppelzimmern ausgestattet. (Preis p.P/Nacht: 15 Euro).Es gibt Einkaufsmöglichkeiten in der Nähe, so dass eine problemlose Selbstverpflegung möglich ist.Wichtig:Betrag muss bei der Anmeldung bar mitgebracht werden.Dieser Kurs wird erst wieder im Sommersemester 2022 angeboten!
